url,tipo,bairro,cidade,objetivo,preco,area_util,quartos,suites,vagas
https://www.novasaopaulo.com.br/imovel/apartamento-jardim-miriam-zona-sul/JA25335,Apartamento,Jardim Miriam Zona Sul,São Paulo,Locação,1100.0,50.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-vila-parque-jabaquara/JA37724,Conjunto Comercial,Vila Parque Jabaquara,São Paulo,Locação,1100.0,35.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-vila-parque-jabaquara/JA34077,Conjunto Comercial,Vila Parque Jabaquara,São Paulo,Locação,1100.0,22.0,,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA28596,Conjunto Comercial,Saúde,São Paulo,Locação,1100.0,35.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-vila-parque-jabaquara/JA40929,Conjunto Comercial,Vila Parque Jabaquara,São Paulo,Locação,1100.0,35.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA2666,Conjunto Comercial,Saúde,São Paulo,Locação,1100.0,30.0,,,1.0
https://www.novasaopaulo.com.br/imovel/casa-assobradada-vila-fachini/JA33466,Casa Assobradada,Vila Fachini,São Paulo,Locação,1100.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA6241,Conjunto Comercial,Saúde,São Paulo,Locação,1100.0,30.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-centro/JA30092,Conjunto Comercial,Centro,Diadema,Locação,1100.0,80.0,,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-vila-guarani-zona-sul/JA36805,Conjunto Comercial,Vila Guarani Zona Sul,São Paulo,Locação,1150.0,38.0,,,1.0
https://www.novasaopaulo.com.br/imovel/casa-terrea-planalto-paulista/JA15574,Casa Térrea,Planalto Paulista,São Paulo,Locação,1150.0,38.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-de-vila-bosque-da-saude/JA40169,Casa de Vila,Bosque da Saúde,São Paulo,Locação,1150.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/JA19609,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1200.0,38.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/MO3336,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1200.0,36.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/MO3451,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1200.0,38.0,,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-sacoma/JA40543,Apartamento,Sacomã,São Paulo,Locação,1200.0,30.0,1.0,,
https://www.novasaopaulo.com.br/imovel/sobrado-jabaquara/JA41193,Sobrado,Jabaquara,São Paulo,Locação,1200.0,22.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA29307,Conjunto Comercial,Saúde,São Paulo,Locação,1200.0,45.0,,,2.0
https://www.novasaopaulo.com.br/imovel/casa-assobradada-vila-brasilina/JA39724,Casa Assobradada,Vila Brasilina,São Paulo,Locação,1200.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-vila-clementino/JA33987,Conjunto Comercial,Vila Clementino,São Paulo,Locação,1200.0,35.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/JA28999,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1200.0,38.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-ipiranga/JA27091,Conjunto Comercial,Ipiranga,São Paulo,Locação,1200.0,25.0,,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-jabaquara/JA35311,Conjunto Comercial,Jabaquara,São Paulo,Locação,1200.0,16.0,,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-mariana/JA18581,Casa Térrea,Vila Mariana,São Paulo,Locação,1200.0,30.0,1.0,,
https://www.novasaopaulo.com.br/imovel/apartamento-sacoma/JA40541,Apartamento,Sacomã,São Paulo,Locação,1200.0,30.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-cambuci/JA36926,Conjunto Comercial,Cambuci,São Paulo,Locação,1200.0,33.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/JA38431,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1200.0,35.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA37979,Conjunto Comercial,Saúde,São Paulo,Locação,1200.0,15.0,,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-guarani-zona-sul/JA4894,Casa Térrea,Vila Guarani Zona Sul,São Paulo,Locação,1200.0,40.0,1.0,,
https://www.novasaopaulo.com.br/imovel/studio-saude/JA35030,Studio,Saúde,São Paulo,Locação,1200.0,12.0,1.0,,
https://www.novasaopaulo.com.br/imovel/apartamento-vila-talarico/JA12672,Apartamento,Vila Talarico,São Paulo,Locação,1200.0,70.0,2.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-cambuci/JA36927,Conjunto Comercial,Cambuci,São Paulo,Locação,1200.0,33.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-campo-belo/JA25066,Conjunto Comercial,Campo Belo,São Paulo,Locação,1200.0,37.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA28892,Conjunto Comercial,Saúde,São Paulo,Locação,1200.0,36.0,,,1.0
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-guarani-zona-sul/JA19352,Casa Térrea,Vila Guarani Zona Sul,São Paulo,Locação,1200.0,24.0,1.0,,
https://www.novasaopaulo.com.br/imovel/comercial-vila-mariana/JA41036,Comercial,Vila Mariana,São Paulo,Locação,1200.0,40.0,,,1.0
https://www.novasaopaulo.com.br/imovel/loja-vila-babilonia/JA31673,Loja,Vila Babilônia,São Paulo,Locação,1200.0,23.0,,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-saude/JA15184,Casa Térrea,Saúde,São Paulo,Locação,1200.0,50.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-de-vila-vila-santo-estefano/JA41320,Casa de Vila,Vila Santo Estéfano,São Paulo,Locação,1200.0,50.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/comercial-mirandopolis/JA31615,Comercial,Mirandópolis,São Paulo,Locação,1200.0,20.0,,,
https://www.novasaopaulo.com.br/imovel/apartamento-sacoma/JA40539,Apartamento,Sacomã,São Paulo,Locação,1208.0,30.0,1.0,,
https://www.novasaopaulo.com.br/imovel/comercial-vila-santo-estefano/JA40782,Comercial,Vila Santo Estéfano,São Paulo,Locação,1250.0,50.0,,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA4295,Conjunto Comercial,Saúde,São Paulo,Locação,1290.0,31.0,,,1.0
https://www.novasaopaulo.com.br/imovel/casa-de-vila-jardim-previdencia/JA26960,Casa de Vila,Jardim Previdência,São Paulo,Locação,1290.0,60.0,2.0,1.0,
https://www.novasaopaulo.com.br/imovel/casa-de-vila-saude/JA24273,Casa de Vila,Saúde,São Paulo,Locação,1290.0,80.0,2.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-vila-guarani-zona-sul/JA5906,Conjunto Comercial,Vila Guarani Zona Sul,São Paulo,Locação,1300.0,35.0,,,1.0
https://www.novasaopaulo.com.br/imovel/casa-de-vila-campo-belo/JA31572,Casa de Vila,Campo Belo,São Paulo,Locação,1300.0,15.0,1.0,,
https://www.novasaopaulo.com.br/imovel/comercial-mirandopolis/JA37216,Comercial,Mirandópolis,São Paulo,Locação,1300.0,50.0,1.0,,
https://www.novasaopaulo.com.br/imovel/apartamento-vila-monumento/JA40395,Apartamento,Vila Monumento,São Paulo,Locação,1300.0,18.0,1.0,,
https://www.novasaopaulo.com.br/imovel/sobrado-vila-campestre/JA40070,Sobrado,Vila Campestre,São Paulo,Locação,1300.0,44.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-jabaquara/JA38866,Conjunto Comercial,Jabaquara,São Paulo,Locação,1300.0,36.0,,,1.0
https://www.novasaopaulo.com.br/imovel/comercial-mirandopolis/JA37219,Comercial,Mirandópolis,São Paulo,Locação,1300.0,50.0,1.0,,
https://www.novasaopaulo.com.br/imovel/comercial-mirandopolis/JA37214,Comercial,Mirandópolis,São Paulo,Locação,1300.0,50.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-bosque-da-saude/JA31825,Conjunto Comercial,Bosque da Saúde,São Paulo,Locação,1300.0,40.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-vila-parque-jabaquara/JA40008,Conjunto Comercial,Vila Parque Jabaquara,São Paulo,Locação,1300.0,36.0,,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-monumento/JA40466,Apartamento,Vila Monumento,São Paulo,Locação,1300.0,15.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-saude/JA41367,Casa Térrea,Saúde,São Paulo,Locação,1300.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/apartamento-americanopolis/JA41363,Apartamento,Americanópolis,São Paulo,Locação,1300.0,40.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-campestre/JA35054,Casa Térrea,Vila Campestre,São Paulo,Locação,1300.0,44.0,1.0,,
https://www.novasaopaulo.com.br/imovel/kit-vila-mira/JA29616,Kitnet,Vila Mira,São Paulo,Locação,1350.0,30.0,1.0,1.0,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-gumercindo/JA35639,Casa Térrea,Vila Gumercindo,São Paulo,Locação,1350.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-santa-catarina/JA41173,Casa Térrea,Vila Santa Catarina,São Paulo,Locação,1350.0,40.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/JA30358,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1350.0,80.0,,,
https://www.novasaopaulo.com.br/imovel/apartamento-vila-monumento/JA40391,Apartamento,Vila Monumento,São Paulo,Locação,1350.0,15.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-bosque-da-saude/JA41210,Casa Térrea,Bosque da Saúde,São Paulo,Locação,1350.0,35.0,1.0,,
